listing litle,city,area,zone,location_hub,property_type,ownership,size_in_sqft,carpet_area_sqft,private_washroom,public_washroom,floor_no,total_floors,amenities_count,electric_charge_included,water_charge_included,property_age,possession_status,posted_by,lock in period,expected rent increases yearly,negotiable,brokerage,security_deposite,rent_price,water_storae,power_backup,fire_safety,cctv,oxygen_duct,vastu,water_supply,fire_extinghuishers,meeting_room,dg_and_ups,fire_extinguishers,pantry,dg,meeting_rooms,food_court,fire_sensors,ccvt,water_storage,internate,panetry,internet,staricase,staircase,paarking,sqcurity,metting_room,staircases,parking,furnishing,lift,cabin,reception_area,cebin,fire_sefty,fire_extinguisher,0,fire_safty,security
bare shell office space,nagpur,pratap nagar,south,commercial project,bare shell office,leasehold,2000,0,1,0,1,3,"water supply, CCTV, parking(3)",no,yes,5 years,ready to move,owner,2 months,0.05,yes,no,100000.0,100000,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
bare shell office space,nagpur,pratap nagar,east,commercial project,bare shell office,freehold,2000,0,1,0,2,4,"lift , staircase, parking, water storage, CCTV, internet, fire extinguishers, pantry (8)",no,yes,3 years,ready to move,broker,3 months,0.05,no,yes,150000.0,50000,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
showroom for rent,nagpur,sitabuldi,west,Retail Complex/ Building,showroom,freehold,900,750,1,1,1,1,"CCTV,food court,lift, parking(4)",no,yes,6 years,ready to move,housing expert,6 months,0.1,yes,yes,160000.0,80000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
ready to use office space,nagpur,mahal,south,Retail Complex/ Building,ready to use office,freehold,600,500,1,1,1,1,"lift, cabin,metting room(3)",no,yes,6 years,ready to move,owner,2 months,0.05,yes,no,60000.0,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
commercial property,nagpur,ramdaspeth,west,commercial project,commercial property,freehold,600,550,1,2,2,3,"water storage, food court, power backup, internet, security (5)",no,yes,4 years,ready to move,owner,6 months,0.1,yes,no,41000.0,41000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
commercial property,nagpur,omkar nagar,south,others,commercial property,freehold,500,400,2,1,1,2,"water storage, parking, staircase, security(4)",no,yes,7 years,ready to move,broker,3 months,0.05,no,yes,80000.0,40000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
commercial property,nagpur,dighori,west,Retail Complex/ Building,commercial property,freehold,900,850,1,1,3,5,"water storage, CCTV, vastu, food court, oxygen duct, furnishing (6)",no,yes,5 years,ready to move,owner,6 months,0.1,yes,no,100000.0,50000,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
showroom for rent,nagpur,itwari,west,Retail Complex/ Building,showroom,freehold,900,750,1,1,1,1,"CCTV,food court,lift, parking(4)",no,yes,5 years,ready to move,housing expert,6 months,0.1,yes,yes,160000.0,80000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
ready to use office space,nagpur,sitabuldi,south,Retail Complex/ Building,ready to use office,freehold,600,500,1,1,1,1,"lift, cabin,metting room(3)",no,yes,6 years,ready to move,owner,2 months,0.05,yes,no,60000.0,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
commercial property,nagpur,dharampeth,west,commercial project,commercial property,freehold,600,550,1,2,2,3,"water storage, food court, power backup, internet, security (5)",no,yes,4 years,ready to move,owner,6 months,0.1,yes,no,41000.0,41000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
